Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Bangladesh,BGD,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,27.3,,23.5,,,28.9,,,29,,,,24.1,,,,,23.2,,,,,18.3,,,,,14.9,,,,,,11.9,,,,,,4.3,,
Bulgaria,BGR,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,0,1.1,,1,,,,2.8,,1.4,,,5.4,1.8,1.3,1.1,1.8,2.3,2.1,2.1,1.6,3,2,1.3,0.9,1,0.4,0.7,0.7,0.7,
Bahrein,BHR,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahamas,BHS,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia y Herzegovina,BIH,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,0.3,,,0.1,,,,0.2,,,,,,,,,,,,,
Belarús,BLR,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,1.8,,,22.7,20.3,16.1,9.3,7.1,5.9,3,1.7,0.9,0.7,0.4,0.4,0.2,0.1,0,0,0,0,0,0,0,0,0,,,,
Belice,BLZ,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2,12.3,11.8,15,17.7,16.7,15.6,,,,,,,,,,,,,,,,,,,0.8,,,,,,
Bermudas,BMU,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,,9.1,,,,,13.3,,18.8,21.3,16,17.3,,9.1,13.3,11,8.4,7.2,6.9,,4.6,5.4,4.5,3.9,4.1,4.8,4.2,3.1,2,2.6,1.9,2.1,1.7,
Brasil,BRA,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,19.7,19.9,24.5,23.9,20.9,10.7,16.6,18.5,16.9,19.6,,19.3,18.6,,12.7,13.6,13.5,12.4,13,,11.3,10.4,11,9.8,8.8,7.5,7.1,6,5.6,,4.8,4.1,3.5,3.1,3.5,4.2,4.5,4.5,4.6,1.8,4.8,3.1,2.6,
