Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,"Brecha de pobreza a $3,00 por día (2021 PPA) (%)",SI.POV.GAPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AFE,"Brecha de pobreza a $3,00 por día (2021 PPA) (%)",SI.POV.GAPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afganistán,AFG,"Brecha de pobreza a $3,00 por día (2021 PPA) (%)",SI.POV.GAPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AFW,"Brecha de pobreza a $3,00 por día (2021 PPA) (%)",SI.POV.GAPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Brecha de pobreza a $3,00 por día (2021 PPA) (%)",SI.POV.GAPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9,,,,,,,,6.7,,,,,,,,,,16.3,,,,,,
Albania,ALB,"Brecha de pobreza a $3,00 por día (2021 PPA) (%)",SI.POV.GAPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,0.7,,,0.4,,,0.1,,,,0.4,,0.6,0.1,0.1,0.2,0.1,0,0,,,,
Andorra,AND,"Brecha de pobreza a $3,00 por día (2021 PPA) (%)",SI.POV.GAPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El mundo árabe,ARB,"Brecha de pobreza a $3,00 por día (2021 PPA) (%)",SI.POV.GAPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emiratos Árabes Unidos,ARE,"Brecha de pobreza a $3,00 por día (2021 PPA) (%)",SI.POV.GAPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,
Argentina,ARG,"Brecha de pobreza a $3,00 por día (2021 PPA) (%)",SI.POV.GAPS,,,,,,,,,,,,,,,,,,,,,0,,,,,,1,0.9,,,,0.7,1.3,1.4,1.5,2.5,3,2.5,2.6,2.8,3.3,5.4,6.9,3,2.1,1.5,1.2,1,0.9,0.8,0.5,0.4,0.4,0.4,0.4,,0.4,0.4,0.6,0.6,0.7,0.6,0.4,0.3,0.3
